episode:1, reward: -1, mean reward: -1.0, score: -1001, epsilon: 0.8710929753303831, total steps: 1039
episode:59, reward: -1001, mean reward: -167.67, score: -1006, epsilon: 0.7934758987854569, total steps: 4018
episode:60, reward: -1001, mean reward: -34.33, score: -1030, epsilon: 0.7927327945007392, total steps: 4048
episode:61, reward: -1001, mean reward: -14.7, score: -1073, epsilon: 0.7909276751533526, total steps: 4121
episode:62, reward: -1001, mean reward: -35.48, score: -1029, epsilon: 0.7902117911337266, total steps: 4150
episode:63, reward: -1001, mean reward: -91.91, score: -1011, epsilon: 0.7899404298962448, total steps: 4161
episode:64, reward: -1001, mean reward: -67.67, score: -1015, epsilon: 0.7895705521584369, total steps: 4176
episode:65, reward: -1001, mean reward: -48.62, score: -1021, epsilon: 0.7890530339244399, total steps: 4197
episode:66, reward: -1001, mean reward: -48.62, score: -1021, epsilon: 0.7885358778264443, total steps: 4218
episode:67, reward: -1001, mean reward: -201.0, score: -1005, epsilon: 0.7884127987703462, total steps: 4223
episode:68, reward: -1001, mean reward: -63.5, score: -1016, epsilon: 0.7880190836110436, total steps: 4239
episode:69, reward: -1001, mean reward: -35.48, score: -1029, epsilon: 0.7873060098713877, total steps: 4268
episode:70, reward: -1001, mean reward: -9.33, score: -1120, epsilon: 0.7843626764232421, total steps: 4388
episode:71, reward: -1001, mean reward: -59.82, score: -1017, epsilon: 0.7839466554570084, total steps: 4405
episode:72, reward: -1001, mean reward: -27.32, score: -1038, epsilon: 0.7830175782332256, total steps: 4443
episode:73, reward: -1001, mean reward: -44.48, score: -1023, epsilon: 0.7824558134605923, total steps: 4466
episode:74, reward: -1001, mean reward: -201.0, score: -1005, epsilon: 0.7823337476641146, total steps: 4471
episode:75, reward: -1001, mean reward: -11.2, score: -1098, epsilon: 0.7799453605778809, total steps: 4569
episode:76, reward: -1001, mean reward: -26.64, score: -1039, epsilon: 0.7789970481457645, total steps: 4608
episode:77, reward: -1001, mean reward: -17.67, score: -1060, epsilon: 0.7775405110720591, total steps: 4668
episode:78, reward: -1001, mean reward: -48.62, score: -1021, epsilon: 0.77703141092015, total steps: 4689
episode:79, reward: -1001, mean reward: -84.33, score: -1012, epsilon: 0.7767406565105406, total steps: 4701
episode:80, reward: -1001, mean reward: -29.57, score: -1035, epsilon: 0.7758932868063861, total steps: 4736
episode:81, reward: -1001, mean reward: -143.86, score: -1007, epsilon: 0.7757239314650227, total steps: 4743
episode:82, reward: -1001, mean reward: -42.67, score: -1024, epsilon: 0.7751435844895928, total steps: 4767
episode:83, reward: -1001, mean reward: -126.0, score: -1008, epsilon: 0.7749502386476537, total steps: 4775
episode:84, reward: -1001, mean reward: -143.86, score: -1007, epsilon: 0.7747811033251908, total steps: 4782
episode:85, reward: -1001, mean reward: -112.11, score: -1009, epsilon: 0.7745637016060817, total steps: 4791
episode:86, reward: -1001, mean reward: -67.67, score: -1015, epsilon: 0.774201510310648, total steps: 4806
episode:87, reward: -1001, mean reward: -30.41, score: -1034, epsilon: 0.7733812135216119, total steps: 4840
episode:88, reward: -1001, mean reward: -42.67, score: -1024, epsilon: 0.7728027399710669, total steps: 4864
episode:89, reward: -1001, mean reward: -72.43, score: -1014, epsilon: 0.7724655107186926, total steps: 4878
episode:90, reward: -1001, mean reward: -28.78, score: -1036, epsilon: 0.7715990720729903, total steps: 4914
episode:91, reward: -1001, mean reward: -63.5, score: -1016, epsilon: 0.7712143218437325, total steps: 4930
episode:92, reward: -1001, mean reward: -46.45, score: -1022, epsilon: 0.7706856252201691, total steps: 4952
episode:93, reward: -1001, mean reward: -23.22, score: -1045, epsilon: 0.7696054071484335, total steps: 4997
episode:94, reward: -1001, mean reward: -29.57, score: -1035, epsilon: 0.7687663570478224, total steps: 5032
episode:95, reward: -1001, mean reward: -21.41, score: -1049, epsilon: 0.7675933302306596, total steps: 5081
episode:96, reward: -1001, mean reward: -17.67, score: -1060, epsilon: 0.7661595778005458, total steps: 5141
episode:97, reward: -1001, mean reward: -46.45, score: -1022, epsilon: 0.7656345866304485, total steps: 5163
episode:98, reward: -1001, mean reward: -67.67, score: -1015, epsilon: 0.7652768587765494, total steps: 5178
episode:99, reward: -1001, mean reward: -48.62, score: -1021, epsilon: 0.7647763401773534, total steps: 5199
episode:100, reward: -1001, mean reward: -67.67, score: -1015, epsilon: 0.764419041339418, total steps: 5214
episode:101, reward: -1001, mean reward: -35.48, score: -1029, epsilon: 0.7637287699510459, total steps: 5243
episode:102, reward: -1001, mean reward: -17.67, score: -1060, epsilon: 0.762302738917521, total steps: 5303
episode:103, reward: -1001, mean reward: -15.08, score: -1071, epsilon: 0.7606189490393631, total steps: 5374
episode:104, reward: -1001, mean reward: -6.05, score: -1198, epsilon: 0.7559443072625042, total steps: 5572
episode:105, reward: -1001, mean reward: -33.26, score: -1031, epsilon: 0.7552152082443686, total steps: 5603
episode:106, reward: -1001, mean reward: -251.0, score: -1004, epsilon: 0.7551211858182372, total steps: 5607
episode:107, reward: -1001, mean reward: -67.67, score: -1015, epsilon: 0.7547687133507881, total steps: 5622
episode:108, reward: -1001, mean reward: -72.43, score: -1014, epsilon: 0.7544398980141036, total steps: 5636
episode:109, reward: -1001, mean reward: -53.63, score: -1019, epsilon: 0.7539938939948755, total steps: 5655
episode:110, reward: -1001, mean reward: -41.0, score: -1025, epsilon: 0.7534074767909843, total steps: 5680
episode:111, reward: -1001, mean reward: -48.62, score: -1021, epsilon: 0.7529152638518579, total steps: 5701
episode:112, reward: -1001, mean reward: -7.94, score: -1144, epsilon: 0.749549355228607, total steps: 5845
episode:113, reward: -1001, mean reward: -26.64, score: -1039, epsilon: 0.7486405319299465, total steps: 5884
episode:114, reward: -1001, mean reward: -13.66, score: -1079, epsilon: 0.7468031987462964, total steps: 5963
episode:115, reward: -1001, mean reward: -72.43, score: -1014, epsilon: 0.7464780997825397, total steps: 5977
episode:116, reward: -1001, mean reward: -14.7, score: -1073, epsilon: 0.7447853966970464, total steps: 6050
episode:117, reward: -1, mean reward: -1.0, score: -1001, epsilon: 0.7219852221844253, total steps: 7051
episode:118, reward: -1001, mean reward: -17.39, score: -1061, epsilon: 0.7206202404343828, total steps: 7112
episode:119, reward: -1001, mean reward: -24.81, score: -1042, epsilon: 0.7196820289990207, total steps: 7154
episode:120, reward: -1001, mean reward: -126.0, score: -1008, epsilon: 0.7195034709334212, total steps: 7162
episode:121, reward: -1001, mean reward: -53.63, score: -1019, epsilon: 0.7190795863127952, total steps: 7181
episode:122, reward: -1001, mean reward: -167.67, score: -1006, epsilon: 0.7189457837762323, total steps: 7187
episode:123, reward: -1001, mean reward: -42.67, score: -1024, epsilon: 0.7184108411547901, total steps: 7211
episode:124, reward: -1001, mean reward: -33.26, score: -1031, epsilon: 0.7177205066864992, total steps: 7242
episode:125, reward: -1001, mean reward: -26.64, score: -1039, epsilon: 0.7168530340072173, total steps: 7281
episode:126, reward: -1001, mean reward: -67.67, score: -1015, epsilon: 0.716519690832952, total steps: 7296
episode:127, reward: -1001, mean reward: -167.67, score: -1006, epsilon: 0.7163864002242906, total steps: 7302
episode:128, reward: -1001, mean reward: -32.25, score: -1032, epsilon: 0.715675967029115, total steps: 7334
episode:129, reward: -1001, mean reward: -51.0, score: -1020, epsilon: 0.7152323309462207, total steps: 7354
episode:130, reward: -1001, mean reward: -30.41, score: -1034, epsilon: 0.7144788280367832, total steps: 7388
episode:131, reward: -1001, mean reward: -30.41, score: -1034, epsilon: 0.713726178613576, total steps: 7422
episode:132, reward: -1001, mean reward: -59.82, score: -1017, epsilon: 0.7133501736571609, total steps: 7439
episode:133, reward: -1001, mean reward: -24.26, score: -1043, epsilon: 0.7124000528241802, total steps: 7482
episode:134, reward: -1001, mean reward: -67.67, score: -1015, epsilon: 0.7120689355839764, total steps: 7497
episode:135, reward: -1001, mean reward: -53.63, score: -1019, epsilon: 0.7116497580116825, total steps: 7516
episode:136, reward: -1001, mean reward: -167.67, score: -1006, epsilon: 0.7115174412921932, total steps: 7522
episode:137, reward: -1001, mean reward: -53.63, score: -1019, epsilon: 0.7110986128890355, total steps: 7541
episode:138, reward: -1001, mean reward: -51.0, score: -1020, epsilon: 0.7106580273586042, total steps: 7561
episode:139, reward: -1001, mean reward: -67.67, score: -1015, epsilon: 0.7103277809134164, total steps: 7576
episode:140, reward: -1001, mean reward: -56.56, score: -1018, epsilon: 0.7099317030801007, total steps: 7594
episode:141, reward: -1001, mean reward: -13.99, score: -1077, epsilon: 0.7082400502586685, total steps: 7671
episode:142, reward: -1001, mean reward: -36.71, score: -1028, epsilon: 0.7076259794893631, total steps: 7699
episode:143, reward: -1001, mean reward: -59.82, score: -1017, epsilon: 0.7072534303332159, total steps: 7716
episode:144, reward: -1001, mean reward: -112.11, score: -1009, epsilon: 0.7070562838775628, total steps: 7725
episode:145, reward: -1001, mean reward: -72.43, score: -1014, epsilon: 0.7067497291467538, total steps: 7739
episode:146, reward: -1001, mean reward: -112.11, score: -1009, epsilon: 0.7065527337787926, total steps: 7748
episode:147, reward: -1001, mean reward: -19.18, score: -1055, epsilon: 0.7053501564662342, total steps: 7803
episode:148, reward: -1001, mean reward: -35.48, score: -1029, epsilon: 0.7047169574105012, total steps: 7832
episode:149, reward: -1001, mean reward: -14.89, score: -1072, epsilon: 0.7031475207899902, total steps: 7904
episode:150, reward: -1001, mean reward: -32.25, score: -1032, epsilon: 0.702451201537437, total steps: 7936
episode:151, reward: -1001, mean reward: -19.52, score: -1054, epsilon: 0.7012778457117187, total steps: 7990
episode:152, reward: -1001, mean reward: -59.82, score: -1017, epsilon: 0.7009088928123433, total steps: 8007
episode:153, reward: -1001, mean reward: -56.56, score: -1018, epsilon: 0.7005184646168272, total steps: 8025
episode:154, reward: -1001, mean reward: -21.0, score: -1050, epsilon: 0.6994351701719326, total steps: 8075
episode:155, reward: -1001, mean reward: -30.41, score: -1034, epsilon: 0.6986995605699163, total steps: 8109
episode:156, reward: -1001, mean reward: -20.23, score: -1052, epsilon: 0.697576121926362, total steps: 8161
episode:157, reward: -1001, mean reward: -26.0, score: -1040, epsilon: 0.6967132624645991, total steps: 8201
episode:158, reward: -1001, mean reward: -63.5, score: -1016, epsilon: 0.6963684406852659, total steps: 8217
episode:159, reward: -1001, mean reward: -36.71, score: -1028, epsilon: 0.6957654449157585, total steps: 8245
episode:160, reward: -1001, mean reward: -38.04, score: -1027, epsilon: 0.6951845174718966, total steps: 8272
episode:161, reward: -1001, mean reward: -14.89, score: -1072, epsilon: 0.6936379312757607, total steps: 8344
episode:162, reward: -1001, mean reward: -36.71, score: -1028, epsilon: 0.6930374827927835, total steps: 8372
episode:163, reward: -1001, mean reward: -42.67, score: -1024, epsilon: 0.6925232585236822, total steps: 8396
episode:164, reward: -1001, mean reward: -25.39, score: -1041, epsilon: 0.6916457431757712, total steps: 8437
episode:165, reward: -1001, mean reward: -34.33, score: -1030, epsilon: 0.6910044181485528, total steps: 8467
episode:166, reward: -1001, mean reward: -59.82, score: -1017, epsilon: 0.6906412852089854, total steps: 8484
episode:167, reward: -1001, mean reward: -56.56, score: -1018, epsilon: 0.6902570157302317, total steps: 8502
episode:168, reward: -1001, mean reward: -48.62, score: -1021, epsilon: 0.6898089926455944, total steps: 8523
episode:169, reward: -1001, mean reward: -72.43, score: -1014, epsilon: 0.6895104847729474, total steps: 8537
episode:170, reward: -1001, mean reward: -91.91, score: -1011, epsilon: 0.6892760405792595, total steps: 8548
episode:171, reward: -1001, mean reward: -16.15, score: -1066, epsilon: 0.6878711792041251, total steps: 8614
episode:172, reward: -1001, mean reward: -42.67, score: -1024, epsilon: 0.6873610863251184, total steps: 8638
episode:173, reward: -1001, mean reward: -27.32, score: -1038, epsilon: 0.6865542733718509, total steps: 8676
episode:174, reward: -1001, mean reward: -28.03, score: -1037, epsilon: 0.6857696737039427, total steps: 8713
episode:175, reward: -1001, mean reward: -112.11, score: -1009, epsilon: 0.6855789714086061, total steps: 8722
episode:176, reward: -1001, mean reward: -84.33, score: -1012, epsilon: 0.6853247906595816, total steps: 8734
episode:177, reward: -1001, mean reward: -41.0, score: -1025, epsilon: 0.6847955738716529, total steps: 8759
episode:178, reward: -1001, mean reward: -16.87, score: -1063, epsilon: 0.68346390191147, total steps: 8822
episode:179, reward: -1001, mean reward: -14.89, score: -1072, epsilon: 0.6819454114642944, total steps: 8894
episode:180, reward: -1001, mean reward: -63.5, score: -1016, epsilon: 0.6816084637722183, total steps: 8910
episode:181, reward: -1001, mean reward: -53.63, score: -1019, epsilon: 0.6812085717243445, total steps: 8929
episode:182, reward: -1001, mean reward: -32.25, score: -1032, epsilon: 0.6805356415410733, total steps: 8961
episode:183, reward: -1001, mean reward: -21.41, score: -1049, epsilon: 0.6795066072666499, total steps: 9010
episode:184, reward: -1001, mean reward: -53.63, score: -1019, epsilon: 0.6791080459731129, total steps: 9029
episode:185, reward: -1001, mean reward: -46.45, score: -1022, epsilon: 0.6786468691915534, total steps: 9051
episode:186, reward: -1001, mean reward: -53.63, score: -1019, epsilon: 0.6782488522264085, total steps: 9070
episode:187, reward: -1001, mean reward: -12.36, score: -1088, epsilon: 0.6764086891518519, total steps: 9158
episode:188, reward: -1001, mean reward: -46.45, score: -1022, epsilon: 0.6759494911729784, total steps: 9180
episode:189, reward: -1001, mean reward: -48.62, score: -1021, epsilon: 0.6755114798510055, total steps: 9201
episode:190, reward: -1001, mean reward: -27.32, score: -1038, epsilon: 0.6747196668972665, total steps: 9239
episode:191, reward: -1001, mean reward: -56.56, score: -1018, epsilon: 0.6743449475241816, total steps: 9257
episode:192, reward: -1001, mean reward: -25.39, score: -1041, epsilon: 0.6734922588991784, total steps: 9298
episode:193, reward: -1001, mean reward: -31.3, score: -1033, epsilon: 0.6728067944889327, total steps: 9331
episode:194, reward: -1001, mean reward: -44.48, score: -1023, epsilon: 0.6723294922690544, total steps: 9354
episode:195, reward: -1001, mean reward: -67.67, score: -1015, epsilon: 0.6720184053011428, total steps: 9369
episode:196, reward: -1001, mean reward: -77.92, score: -1013, epsilon: 0.6717489223843612, total steps: 9382
episode:197, reward: -1001, mean reward: -28.03, score: -1037, epsilon: 0.6709825713936735, total steps: 9419
episode:198, reward: -1001, mean reward: -34.33, score: -1030, epsilon: 0.6703618992100943, total steps: 9449
episode:199, reward: -1001, mean reward: -67.67, score: -1015, epsilon: 0.670051795792804, total steps: 9464
episode:200, reward: -1001, mean reward: -72.43, score: -1014, epsilon: 0.6697625057943505, total steps: 9478
episode:201, reward: -1001, mean reward: -84.33, score: -1012, epsilon: 0.6695146503664231, total steps: 9490
episode:202, reward: -1001, mean reward: -63.5, score: -1016, epsilon: 0.6691843306459828, total steps: 9506
episode:203, reward: -1001, mean reward: -63.5, score: -1016, epsilon: 0.6688541870490898, total steps: 9522
episode:204, reward: -1, mean reward: -1.0, score: -1001, epsilon: 0.6485457817059965, total steps: 10523
episode:205, reward: -1, mean reward: -1.0, score: -1001, epsilon: 0.628903819826017, total steps: 11524
episode:206, reward: -1, mean reward: -1.0, score: -1001, epsilon: 0.6099064313074849, total steps: 12525
episode:207, reward: -1, mean reward: -1.0, score: -1001, epsilon: 0.5915324637410423, total steps: 13526
episode:200, reward: 0, mean reward: -0.98, score: -47, epsilon: 0.6669798402115836, total steps: 9613
episode:201, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.6467329436958139, total steps: 10614
episode:202, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.6271504721608988, total steps: 11615
episode:203, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.6082106217439678, total steps: 12616
episode:204, reward: 0, mean reward: -0.89, score: -8, epsilon: 0.6080431836744108, total steps: 12625
episode:205, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.5897303607022505, total steps: 13626
episode:206, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.5720184938837009, total steps: 14627
episode:207, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.5548878621577814, total steps: 15628
episode:208, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.5383193916325998, total steps: 16629
episode:209, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.5222946343477616, total steps: 17630
episode:210, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.506795747733714, total steps: 18631
episode:211, reward: 0, mean reward: -0.94, score: -16, epsilon: 0.506536970137242, total steps: 18648
episode:212, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.4915551892303943, total steps: 19649
episode:213, reward: 0, mean reward: -0.95, score: -20, epsilon: 0.4912462087537166, total steps: 19670
episode:214, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.4767662116057571, total steps: 20671
episode:215, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.4627613920644157, total steps: 21672
episode:216, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.4492161566350581, total steps: 22673
episode:217, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.4361154235413456, total steps: 23674
episode:218, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.42344460593261574, total steps: 24675
episode:219, reward: 0, mean reward: -0.95, score: -20, epsilon: 0.4231832861810465, total steps: 24696
episode:220, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.4109368513961897, total steps: 25697
episode:221, reward: 0, mean reward: -0.83, score: -5, epsilon: 0.41086467124416626, total steps: 25703
episode:222, reward: 0, mean reward: -0.99, score: -133, epsilon: 0.40925640351775777, total steps: 25837
episode:223, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.397466995257421, total steps: 26838
episode:224, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.3860644698633824, total steps: 27839
episode:225, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.37503613133352454, total steps: 28840
episode:226, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.364369700299507, total steps: 29841
episode:227, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.3540533003544538, total steps: 30842
episode:228, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.34407544482931424, total steps: 31843
episode:229, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.33442502400317153, total steps: 32844
episode:230, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.3250912927332605, total steps: 33845
episode:231, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.3160638584909202, total steps: 34846
episode:232, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.3073326697901602, total steps: 35847
episode:233, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.29888800499595664, total steps: 36848
episode:234, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.2907204614998168, total steps: 37849
episode:235, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.28282094525056023, total steps: 38850
episode:236, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.2751806606286587, total steps: 39851
episode:237, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.26779110065286177, total steps: 40852
episode:238, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.2606440375082023, total steps: 41853
episode:239, reward: 0, mean reward: -0.83, score: -5, epsilon: 0.26060191291330054, total steps: 41859
episode:240, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.2536907711565189, total steps: 42860
episode:241, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.24700642639185189, total steps: 43861
episode:242, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.24054143601756417, total steps: 44862
episode:243, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.23428860166937743, total steps: 45863
episode:244, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.2282409612055395, total steps: 46864
episode:245, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.22239178095491363, total steps: 47865
episode:246, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.21673454821945437, total steps: 48866
episode:247, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.21126296402272404, total steps: 49867
episode:248, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.20597093609637446, total steps: 50868
episode:249, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.20085257209678564, total steps: 51869
episode:250, reward: 0, mean reward: -0.83, score: -5, epsilon: 0.20082240459921658, total steps: 51875
episode:251, reward: 0, mean reward: -0.8, score: -4, epsilon: 0.20079726962642264, total steps: 51880
episode:252, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.19584868538752798, total steps: 52881
episode:253, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.19106249457943014, total steps: 53882
episode:254, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.18643336807664745, total steps: 54883
episode:255, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.18195615163502354, total steps: 55884
episode:256, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.17762586015279724, total steps: 56885
episode:257, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.17343767212000244, total steps: 57886
episode:258, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.1693869242500167, total steps: 58887
episode:259, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.165469106287282, total steps: 59888
episode:260, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.16167985598541595, total steps: 60889
episode:261, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.15801495425012202, total steps: 61890
episode:262, reward: 0, mean reward: -0.8, score: -4, epsilon: 0.15799695325787133, total steps: 61895
episode:263, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.15445291017231338, total steps: 62896
episode:264, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.1510251688991065, total steps: 63897
episode:265, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.1477099128617505, total steps: 64898
episode:266, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.14450345072905213, total steps: 65899
episode:267, reward: 0, mean reward: -1.0, score: -1000, epsilon: 0.14140221230505742, total steps: 66900
