episode:7520, reward: -100, mean reward: 8.36, score: 835.6840581809425, epsilon: 0.0500003489447409, total steps: 441176
episode:7566, reward: -15.931497782470458, mean reward: -10.71, score: -203.40751207924507, epsilon: 0.05000032602701329, total steps: 443214
episode:7567, reward: -10.709058860335217, mean reward: -5.93, score: -207.63864443713322, epsilon: 0.050000325646870236, total steps: 443249
episode:7568, reward: -15.440829336665955, mean reward: -11.82, score: -200.88271400843513, epsilon: 0.050000325462389285, total steps: 443266
episode:7569, reward: -10.55546096433949, mean reward: -5.68, score: -204.4033082820746, epsilon: 0.050000325072068655, total steps: 443302
episode:7570, reward: -13.527681842147032, mean reward: -10.15, score: -213.08715048672025, epsilon: 0.050000324844597835, total steps: 443323
episode:7571, reward: -8.696095984578253, mean reward: -6.45, score: -206.29285124078456, epsilon: 0.050000324498281665, total steps: 443355
episode:7572, reward: -15.50058072706688, mean reward: -10.12, score: -202.3934803357435, epsilon: 0.05000032428202157, total steps: 443375
episode:7573, reward: -10.545166151684171, mean reward: -6.16, score: -203.14699587215136, epsilon: 0.05000032392550746, total steps: 443408
episode:7574, reward: -100, mean reward: 120.92, score: 4232.319647941762, epsilon: 0.05000032354781474, total steps: 443443
episode:7575, reward: -11.78536395240207, mean reward: -2.72, score: -204.15988847101036, epsilon: 0.050000322739955444, total steps: 443518
episode:7576, reward: -100, mean reward: -7.46, score: -275.8920278521079, epsilon: 0.05000032234215486, total steps: 443555
episode:7577, reward: -100, mean reward: 32.43, score: 3243.382729382641, epsilon: 0.050000321269469815, total steps: 443655
episode:7578, reward: -11.84850684155545, mean reward: -5.14, score: -200.52132253908675, epsilon: 0.05000032085209086, total steps: 443694
episode:7579, reward: -14.44628816599013, mean reward: -11.53, score: -207.478848051862, epsilon: 0.050000320659637346, total steps: 443712
episode:7580, reward: -16.322485683804313, mean reward: -1.07, score: -211.59772887836544, epsilon: 0.050000318560870886, total steps: 443909
episode:7581, reward: -13.662070175932037, mean reward: -2.51, score: -203.69515319922107, epsilon: 0.05000031770191664, total steps: 443990
episode:7582, reward: -5.445379739466754, mean reward: -5.29, score: -200.88519787114797, epsilon: 0.05000031729974897, total steps: 444028
episode:7583, reward: -100, mean reward: 40.35, score: 3106.884752467689, epsilon: 0.05000031648639054, total steps: 444105
episode:7584, reward: -13.06403266604327, mean reward: -5.38, score: -209.78191150050483, epsilon: 0.05000031607522555, total steps: 444144
episode:7585, reward: -100, mean reward: 0.05, score: 1.6256710987078833, epsilon: 0.05000031569616276, total steps: 444180
episode:7586, reward: -10.794174381346537, mean reward: -5.15, score: -200.98015011974314, epsilon: 0.050000315286024395, total steps: 444219
episode:7587, reward: -100, mean reward: -0.1, score: -3.866373719205896, epsilon: 0.05000031488691492, total steps: 444257
episode:7588, reward: -12.178287403748415, mean reward: -4.86, score: -203.97528417515542, epsilon: 0.050000314446381686, total steps: 444299
episode:7589, reward: -20.925190815170673, mean reward: -1.56, score: -210.6908495950608, epsilon: 0.05000031303455197, total steps: 444434
episode:7590, reward: -100, mean reward: -3.1, score: -245.27841265821777, epsilon: 0.050000312211312056, total steps: 444513
episode:7591, reward: -19.058162566540638, mean reward: -14.9, score: -208.5534916180953, epsilon: 0.05000031206564744, total steps: 444527
episode:7592, reward: -16.51025903127117, mean reward: -1.18, score: -206.73485430607116, epsilon: 0.05000031025056363, total steps: 444702
episode:7593, reward: -13.755103370038311, mean reward: -10.72, score: -203.70189338853405, epsilon: 0.05000031005413382, total steps: 444721
episode:7594, reward: -16.2622918484632, mean reward: -11.07, score: -210.25984733995492, epsilon: 0.05000030985782837, total steps: 444740
episode:7595, reward: -11.85733973637643, mean reward: -2.73, score: -207.25779691761178, epsilon: 0.05000030907384866, total steps: 444816
episode:7596, reward: -11.216943744953722, mean reward: -5.04, score: -201.78097185989483, epsilon: 0.05000030866202481, total steps: 444856
episode:7597, reward: -21.446520742258937, mean reward: -16.79, score: -201.4579184282077, epsilon: 0.05000030853858469, total steps: 444868
episode:7598, reward: -11.262515093066591, mean reward: -9.44, score: -207.61220266239314, epsilon: 0.050000308312406004, total steps: 444890
episode:7599, reward: -13.301842276413078, mean reward: -5.69, score: -210.53540612601213, epsilon: 0.05000030793238843, total steps: 444927
episode:7600, reward: -10.338016262837204, mean reward: -2.96, score: -206.85665275564384, epsilon: 0.050000307214717134, total steps: 444997
episode:7601, reward: -19.75613651092536, mean reward: -16.54, score: -214.97299317829155, epsilon: 0.050000307081619594, total steps: 445010
episode:7602, reward: -11.562855779490736, mean reward: -9.16, score: -210.66338943172036, epsilon: 0.050000306846280575, total steps: 445033
episode:7603, reward: -11.336154355253813, mean reward: -5.76, score: -201.56316123118742, epsilon: 0.050000306488502, total steps: 445068
episode:7604, reward: -10.083804048362497, mean reward: -5.7, score: -205.21711250356452, epsilon: 0.05000030612093637, total steps: 445104
episode:7605, reward: -10.713711860206649, mean reward: -5.22, score: -208.8009567411849, epsilon: 0.050000305713047116, total steps: 445144
episode:7606, reward: -10.871873055797433, mean reward: -5.64, score: -208.64164686950238, epsilon: 0.05000030533623344, total steps: 445181
episode:7607, reward: -8.241203297763123, mean reward: -6.12, score: -208.23693785728537, epsilon: 0.05000030499038173, total steps: 445215
episode:7608, reward: -100, mean reward: -3.48, score: -240.44571905177864, epsilon: 0.05000030428970993, total steps: 445284
episode:7609, reward: -16.178381629735526, mean reward: -14.19, score: -212.89733916813296, epsilon: 0.050000304137603105, total steps: 445299
episode:7610, reward: -11.660221380431798, mean reward: -6.14, score: -202.76087972902815, epsilon: 0.050000303803235675, total steps: 445332
episode:7611, reward: -100, mean reward: 20.08, score: 1023.8688888218267, epsilon: 0.050000303287208926, total steps: 445383
episode:7612, reward: -10.066887969541655, mean reward: -2.55, score: -203.72309347561003, epsilon: 0.050000302479520434, total steps: 445463
episode:7613, reward: -12.532579350332453, mean reward: -2.68, score: -200.70491535973989, epsilon: 0.05000030172426609, total steps: 445538
episode:7614, reward: -12.858594397642728, mean reward: -5.95, score: -208.38846851591495, epsilon: 0.050000301372459706, total steps: 445573
episode:7615, reward: -15.91815748452137, mean reward: -11.28, score: -214.35874369638736, epsilon: 0.050000301181650914, total steps: 445592
episode:7616, reward: -13.750133118719884, mean reward: -9.58, score: -210.7954608576208, epsilon: 0.050000300960865336, total steps: 445614
episode:7617, reward: -12.784217196860187, mean reward: -11.16, score: -212.0716694787922, epsilon: 0.050000300770317134, total steps: 445633
episode:7618, reward: -100, mean reward: 7.47, score: 724.5292021095908, epsilon: 0.05000029979939694, total steps: 445730
episode:7619, reward: -19.492791211080785, mean reward: -10.93, score: -218.57502316137493, epsilon: 0.05000029959959728, total steps: 445750
episode:7620, reward: -13.839931945227995, mean reward: -9.17, score: -201.64145125989262, epsilon: 0.05000029937997145, total steps: 445772
episode:7621, reward: -10.948524017949433, mean reward: -5.86, score: -210.81860822467937, epsilon: 0.05000029902093095, total steps: 445808
episode:7622, reward: -14.414093672189475, mean reward: -2.66, score: -212.71712477148935, epsilon: 0.05000029822460404, total steps: 445888
episode:7623, reward: -16.447545383567807, mean reward: -0.7, score: -208.88935851123372, epsilon: 0.05000029528674685, total steps: 446185
episode:7624, reward: -11.266509888536643, mean reward: -2.33, score: -200.69876421874326, epsilon: 0.05000029444147032, total steps: 446271
episode:7625, reward: -12.133610974800206, mean reward: -5.6, score: -201.66202047555436, epsilon: 0.050000294088352465, total steps: 446307
episode:7626, reward: -10.580062958975923, mean reward: -5.75, score: -207.1721557625175, epsilon: 0.050000293735658105, total steps: 446343
episode:7627, reward: -100, mean reward: -0.06, score: -1.9027140049480806, epsilon: 0.05000029340294626, total steps: 446377
episode:7628, reward: -11.557682187486423, mean reward: -5.46, score: -207.630765428076, epsilon: 0.05000029303153781, total steps: 446415
episode:7629, reward: -11.12622038660895, mean reward: -5.62, score: -202.28070330395536, epsilon: 0.05000029268011086, total steps: 446451
episode:7630, reward: -9.319762805209372, mean reward: -5.81, score: -203.28868859893672, epsilon: 0.05000029233884984, total steps: 446486
episode:7631, reward: -15.686281255507337, mean reward: -11.48, score: -206.55208287463236, epsilon: 0.05000029216349914, total steps: 446504
episode:7632, reward: -12.502479204189877, mean reward: -5.53, score: -209.99186459341132, epsilon: 0.050000291793659654, total steps: 446542
episode:7633, reward: -16.719345543676756, mean reward: -16.61, score: -215.970754991422, epsilon: 0.050000291667243124, total steps: 446555
episode:7634, reward: -11.012024333695036, mean reward: -11.33, score: -203.8731753208271, epsilon: 0.05000029149229527, total steps: 446573
episode:7635, reward: -14.089977791645875, mean reward: -10.09, score: -211.8022066379625, epsilon: 0.05000029128832206, total steps: 446594
episode:7636, reward: -13.822857422211921, mean reward: -10.22, score: -204.3661499677108, epsilon: 0.050000291094194564, total steps: 446614
episode:7637, reward: -13.47809442001451, mean reward: -5.65, score: -203.39086429622685, epsilon: 0.05000029074509103, total steps: 446650
episode:7638, reward: -100, mean reward: -1.72, score: -77.57559525032156, epsilon: 0.050000290309300324, total steps: 446695
episode:7639, reward: -100, mean reward: 0.02, score: 0.752638944065879, epsilon: 0.050000289970803635, total steps: 446730
episode:7640, reward: -18.705848451442527, mean reward: -16.68, score: -216.84205836424653, epsilon: 0.05000028984517684, total steps: 446743
episode:7641, reward: -100, mean reward: 109.7, score: 4168.784554635741, epsilon: 0.050000289478272036, total steps: 446781
episode:7642, reward: -13.552274312334784, mean reward: -9.44, score: -207.7399020813389, epsilon: 0.05000028926606579, total steps: 446803
episode:7643, reward: -11.590808976941915, mean reward: -2.54, score: -202.83775564529947, epsilon: 0.05000028849571721, total steps: 446883
episode:7644, reward: -10.936874694494174, mean reward: -5.29, score: -206.379463051967, epsilon: 0.05000028812091645, total steps: 446922
episode:7645, reward: -21.571184570350717, mean reward: -15.77, score: -205.03788089037678, epsilon: 0.050000287996091096, total steps: 446935
episode:7646, reward: -100, mean reward: -3.92, score: -286.1977711285934, epsilon: 0.050000287296152544, total steps: 447008
episode:7647, reward: -18.937416446840743, mean reward: -17.4, score: -208.75622988547627, epsilon: 0.05000028718125706, total steps: 447020
episode:7648, reward: -13.66143417974678, mean reward: -9.24, score: -212.48512772728031, epsilon: 0.05000028696116914, total steps: 447043
episode:7649, reward: -14.15224004799242, mean reward: -2.76, score: -209.83479074734626, epsilon: 0.0500002862351209, total steps: 447119
episode:7650, reward: -16.536271802752253, mean reward: -0.75, score: -201.68133860153458, epsilon: 0.05000028368001848, total steps: 447388
episode:7651, reward: -12.990203374199714, mean reward: -9.54, score: -200.41070089882186, epsilon: 0.05000028348151195, total steps: 447409
episode:7652, reward: -9.27928516551937, mean reward: -2.95, score: -206.1632891006309, epsilon: 0.050000282820826185, total steps: 447479
episode:7653, reward: -9.165437776394583, mean reward: -6.14, score: -208.81757059433988, epsilon: 0.050000282500477486, total steps: 447513
episode:7654, reward: -8.993571259958573, mean reward: -10.1, score: -202.03284196671805, epsilon: 0.050000282312206594, total steps: 447533
episode:7655, reward: -13.006357816217907, mean reward: -5.85, score: -204.6094731041852, epsilon: 0.05000028198303441, total steps: 447568
episode:7656, reward: -8.32919529855195, mean reward: -10.68, score: -202.94425179470483, epsilon: 0.050000281804501695, total steps: 447587
episode:7657, reward: -100, mean reward: 4.18, score: 146.2259578539357, epsilon: 0.05000028147592148, total steps: 447622
episode:7658, reward: -11.571106337344432, mean reward: -9.93, score: -208.58348190095774, epsilon: 0.05000028127895729, total steps: 447643
episode:7659, reward: -9.374712149358384, mean reward: -5.73, score: -206.11302652924982, epsilon: 0.05000028094162498, total steps: 447679
episode:7660, reward: -100, mean reward: 53.96, score: 3561.3834770283897, epsilon: 0.05000028032423278, total steps: 447745
episode:7661, reward: -100, mean reward: 109.98, score: 3629.422461821924, epsilon: 0.05000028001604566, total steps: 447778
episode:7662, reward: -11.729363082056068, mean reward: -5.78, score: -202.23832023537855, epsilon: 0.050000279689550765, total steps: 447813
episode:7663, reward: -12.166112547509526, mean reward: -11.67, score: -210.01161833376415, epsilon: 0.05000027952178737, total steps: 447831
episode:7664, reward: -16.181438929434833, mean reward: -11.2, score: -212.84536912596343, epsilon: 0.05000027934481295, total steps: 447850
episode:7665, reward: -12.527631965613383, mean reward: -5.07, score: -202.95060803059593, epsilon: 0.0500002789726014, total steps: 447890
episode:7666, reward: -21.047643818406858, mean reward: -16.37, score: -212.7867227997183, epsilon: 0.05000027885173946, total steps: 447903
episode:7667, reward: -8.406511394556633, mean reward: -5.81, score: -203.42620996610597, epsilon: 0.05000027852660213, total steps: 447938
episode:7668, reward: -100, mean reward: 4.92, score: 167.27640004049067, epsilon: 0.05000027821111746, total steps: 447972
episode:7669, reward: -16.14692338294751, mean reward: -9.99, score: -209.8731003494978, epsilon: 0.05000027801643782, total steps: 447993
episode:7670, reward: -16.704021635335792, mean reward: -0.59, score: -200.5188319289365, epsilon: 0.0500002749016986, total steps: 448331
episode:7671, reward: -11.338781628537927, mean reward: -5.2, score: -202.69177904707888, epsilon: 0.05000027454455858, total steps: 448370
episode:7672, reward: -11.542915648363115, mean reward: -2.46, score: -201.8878042473596, epsilon: 0.050000273795161435, total steps: 448452
episode:7673, reward: -100, mean reward: 28.03, score: 2690.528329045073, epsilon: 0.050000272920417255, total steps: 448548
episode:7674, reward: -13.896062962462212, mean reward: -2.74, score: -211.04175647493733, epsilon: 0.050000272220819715, total steps: 448625
episode:7675, reward: -100, mean reward: -7.06, score: -233.11068974313525, epsilon: 0.050000271921541446, total steps: 448658
episode:7676, reward: -16.618413296476042, mean reward: -0.55, score: -200.35781767992566, epsilon: 0.05000026863320729, total steps: 449023
episode:7677, reward: -11.013074296796812, mean reward: -5.15, score: -200.9061561948952, epsilon: 0.050000268284211016, total steps: 449062
episode:7678, reward: -19.012121826210723, mean reward: -16.8, score: -218.36147528530063, epsilon: 0.050000268167979714, total steps: 449075
episode:7679, reward: -8.866605224707277, mean reward: -5.63, score: -202.63351819775173, epsilon: 0.05000026784637114, total steps: 449111
episode:7680, reward: -15.478685424279622, mean reward: -10.95, score: -207.97515816226434, epsilon: 0.050000267676788814, total steps: 449130
episode:7681, reward: -100, mean reward: -0.11, score: -3.9109963286653056, epsilon: 0.05000026735576931, total steps: 449166
episode:7682, reward: -11.378546386711793, mean reward: -8.73, score: -200.69968614893548, epsilon: 0.05000026715087511, total steps: 449189
episode:7683, reward: -21.225200000488424, mean reward: -16.64, score: -216.28487637831074, epsilon: 0.05000026703513481, total steps: 449202
episode:7684, reward: -12.123270584419226, mean reward: -2.94, score: -208.93481567074238, epsilon: 0.050000266403898916, total steps: 449273
episode:7685, reward: -16.29248204176533, mean reward: -11.22, score: -213.18311280933827, epsilon: 0.050000266235229865, total steps: 449292
episode:7686, reward: -10.447281837716897, mean reward: -5.77, score: -202.09543560852174, epsilon: 0.050000265924803215, total steps: 449327
episode:7687, reward: -18.232384075380068, mean reward: -13.64, score: -218.18908274703426, epsilon: 0.05000026578301447, total steps: 449343
episode:7688, reward: -11.675645284934348, mean reward: -2.71, score: -205.8676161928732, epsilon: 0.05000026511054964, total steps: 449419
episode:7689, reward: -15.740668860509912, mean reward: -14.5, score: -202.9857789908433, epsilon: 0.05000026498686025, total steps: 449433
episode:7690, reward: -12.291238292632421, mean reward: -5.57, score: -200.61160935920444, epsilon: 0.05000026466906673, total steps: 449469
episode:7691, reward: -100, mean reward: -8.82, score: -299.9724509848279, epsilon: 0.05000026436927837, total steps: 449503
episode:7692, reward: -13.091006349423001, mean reward: -2.73, score: -204.39347197999615, epsilon: 0.05000026370918064, total steps: 449578
episode:7693, reward: -12.611060853706102, mean reward: -6.26, score: -200.16628600945882, epsilon: 0.050000263428040814, total steps: 449610
episode:7694, reward: -15.83627854208088, mean reward: -11.3, score: -214.78669586700295, epsilon: 0.050000263261255874, total steps: 449629
episode:7695, reward: -11.716984096584651, mean reward: -9.01, score: -207.21870733212134, epsilon: 0.050000263059499596, total steps: 449652
episode:7696, reward: -100, mean reward: -3.28, score: -239.3202564734717, epsilon: 0.050000262420166315, total steps: 449725
episode:7697, reward: -15.368597145533364, mean reward: -11.3, score: -214.77021356032705, epsilon: 0.0500002622540195, total steps: 449744
episode:7698, reward: -11.401451297363534, mean reward: -5.08, score: -203.22491026996127, epsilon: 0.050000261904580484, total steps: 449784
episode:7699, reward: -13.107818502517349, mean reward: -10.55, score: -211.05132633709076, epsilon: 0.05000026173003562, total steps: 449804
episode:7700, reward: -13.596223871076255, mean reward: -10.13, score: -202.51959648832096, epsilon: 0.05000026155560708, total steps: 449824
episode:7701, reward: -100, mean reward: 16.63, score: 1763.0783555541652, epsilon: 0.050000260633074695, total steps: 449930
episode:7702, reward: -12.660771928324412, mean reward: -6.01, score: -210.5167329605189, epsilon: 0.050000260329180084, total steps: 449965
episode:7703, reward: -10.867681877368096, mean reward: -2.71, score: -202.90096424468845, epsilon: 0.05000025967916998, total steps: 450040
episode:7704, reward: -16.22489956121826, mean reward: -9.79, score: -205.50329483187886, epsilon: 0.05000025949745817, total steps: 450061
episode:7705, reward: -11.998559339830148, mean reward: -2.65, score: -206.983889914186, epsilon: 0.05000025882364112, total steps: 450139
episode:7706, reward: -13.18924345096232, mean reward: -10.06, score: -211.18558415733685, epsilon: 0.050000258642527974, total steps: 450160
episode:7707, reward: -8.5514172494104, mean reward: -8.34, score: -200.24772377989356, epsilon: 0.05000025843569669, total steps: 450184
episode:7708, reward: -15.850886078453586, mean reward: -2.79, score: -206.10766330671404, epsilon: 0.05000025779900755, total steps: 450258
episode:7709, reward: -11.039001274855183, mean reward: -2.51, score: -210.97202373672826, epsilon: 0.050000257078179955, total steps: 450342
episode:7710, reward: -10.36575263092805, mean reward: -5.63, score: -202.73410670220616, epsilon: 0.05000025676987116, total steps: 450378
episode:7711, reward: -10.346447605520357, mean reward: -5.65, score: -209.01103154569043, epsilon: 0.050000256453383525, total steps: 450415
episode:7712, reward: -12.99237089076116, mean reward: -2.79, score: -206.37531213400746, epsilon: 0.05000025582157806, total steps: 450489
episode:7713, reward: -16.904174511346824, mean reward: -0.65, score: -214.57073582457588, epsilon: 0.05000025301452735, total steps: 450820
episode:7714, reward: -11.488452496333155, mean reward: -9.11, score: -209.44644009438275, epsilon: 0.05000025282062389, total steps: 450843
episode:7715, reward: -11.768870947139979, mean reward: -10.76, score: -204.37233357984272, epsilon: 0.050000252660554856, total steps: 450862
episode:7716, reward: -12.402683619591187, mean reward: -11.43, score: -205.65290796423582, epsilon: 0.050000252509003994, total steps: 450880
episode:7717, reward: -15.574892860276316, mean reward: -15.91, score: -206.80914999173163, epsilon: 0.05000025239960713, total steps: 450893
episode:7718, reward: -100, mean reward: -0.49, score: -23.10537924494625, epsilon: 0.05000025200449067, total steps: 450940
episode:7719, reward: -11.064007461089291, mean reward: -10.65, score: -202.37146689001187, epsilon: 0.05000025184493835, total steps: 450959
episode:7720, reward: -8.947724360058901, mean reward: -5.72, score: -205.9837965304664, epsilon: 0.05000025154290568, total steps: 450995
episode:7721, reward: -11.570985646428538, mean reward: -9.89, score: -207.66201067313148, epsilon: 0.05000025136688726, total steps: 451016
episode:7722, reward: -100, mean reward: -8.54, score: -298.87678454729433, epsilon: 0.050000251073796895, total steps: 451051
episode:7723, reward: -100, mean reward: 59.51, score: 4641.51873944494, epsilon: 0.05000025042185292, total steps: 451129
episode:7724, reward: -14.454158655004582, mean reward: -10.75, score: -204.27887034091984, epsilon: 0.050000250263302626, total steps: 451148
episode:7725, reward: -9.594482980497189, mean reward: -5.88, score: -200.07266144479186, epsilon: 0.050000249979831546, total steps: 451182
episode:7726, reward: -13.442441024165802, mean reward: -10.43, score: -208.60075846736243, epsilon: 0.050000249813233866, total steps: 451202
episode:7727, reward: -100, mean reward: -0.13, score: -4.68383995964372, epsilon: 0.050000249513637775, total steps: 451238
episode:7728, reward: -100, mean reward: 41.39, score: 3104.583113998761, epsilon: 0.050000248890632766, total steps: 451313
episode:7729, reward: -12.812487069129302, mean reward: -5.87, score: -211.17313025593776, epsilon: 0.05000024859214313, total steps: 451349
episode:7730, reward: -13.897632723283369, mean reward: -10.42, score: -208.34791393195417, epsilon: 0.050000248426470266, total steps: 451369
episode:7731, reward: -17.79371886131349, mean reward: -0.67, score: -209.50088426692162, epsilon: 0.05000024585622343, total steps: 451681
episode:7732, reward: -11.314497671875865, mean reward: -2.51, score: -208.32213129075964, epsilon: 0.05000024517696129, total steps: 451764
episode:7733, reward: -10.389243296041375, mean reward: -2.66, score: -210.22832499290112, epsilon: 0.05000024453217796, total steps: 451843
episode:7734, reward: -9.616607719079408, mean reward: -5.49, score: -208.78922583664897, epsilon: 0.050000244222633286, total steps: 451881
episode:7735, reward: -16.741870241024575, mean reward: -16.07, score: -208.8742501965478, epsilon: 0.05000024411682641, total steps: 451894
episode:7736, reward: -11.299355525305607, mean reward: -5.93, score: -201.54800989591328, epsilon: 0.05000024384031739, total steps: 451928
episode:7737, reward: -14.867891032249561, mean reward: -11.31, score: -203.57979492212422, epsilon: 0.05000024369405708, total steps: 451946
episode:7738, reward: -14.006066585060017, mean reward: -10.73, score: -203.94371750924856, epsilon: 0.05000024353976638, total steps: 451965
episode:7739, reward: -16.632039951316475, mean reward: -14.04, score: -210.61247952073256, epsilon: 0.05000024341802693, total steps: 451980
episode:7740, reward: -12.235939307001566, mean reward: -2.81, score: -208.17673686813782, epsilon: 0.05000024281833572, total steps: 452054
episode:7741, reward: -9.774405552869647, mean reward: -2.5, score: -204.85867153968712, epsilon: 0.050000242155538506, total steps: 452136
episode:7742, reward: -12.206356944818586, mean reward: -2.68, score: -212.0402003174647, epsilon: 0.050000241518701125, total steps: 452215
episode:7743, reward: -10.32325005107483, mean reward: -5.63, score: -208.2930056907775, epsilon: 0.050000241221011675, total steps: 452252
episode:7744, reward: -100, mean reward: -0.04, score: -1.6707430331239976, epsilon: 0.05000024091565849, total steps: 452290
episode:7745, reward: -18.930268891179214, mean reward: -14.32, score: -214.76872598230935, epsilon: 0.05000024079523077, total steps: 452305
episode:7746, reward: -100, mean reward: -8.24, score: -205.95464424890923, epsilon: 0.05000024059465166, total steps: 452330
episode:7747, reward: -11.31847632139307, mean reward: -2.62, score: -206.60904489094895, epsilon: 0.05000023996191921, total steps: 452409
